"subject","L1","current_exposure_L2","ccurrent_exposure_L2","switch_noswitch","WordType","switch_word_len","cswitch_word_len","trial","ctrial","FPGD_switch","lFPGD_switch","TRT_switch","lTRT_switch","FPGD_target","lFPGD_target","TRT_target","lTRT_target","item","switch_word","target_word","aoa","caoa","normLD","cnormLD"
1,"English",40,0.484629929,"Switch","Nonhomograph",10,1.137422473,138,1.508394123,224,5.411646052,569,6.343880434,187,5.231108617,187,5.231108617,50,"surprendre","card",14,1.73684885489988,0.6,1.00322491354356
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",5,-0.733132579,47,-0.542775286,NA,NA,NA,NA,215,5.370638028,215,5.370638028,47,"house","book",14,1.73684885489988,0.166666666666667,-0.65058558343532
1,"English",40,0.484629929,"Switch","Nonhomograph",7,0.015089442,56,-0.339912377,364,5.897153868,364,5.897153868,443,6.09356977,443,6.09356977,48,"mauvais","soap",14,1.73684885489988,0.142857142857143,-0.741454292060535
1,"English",40,0.484629929,"Switch","Homograph",7,0.015089442,119,1.080127983,219,5.38907173,627,6.440946541,242,5.488937726,639,6.459904454,58,"magasin","dresser",14,1.73684885489988,0,-1.28666654381182
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",10,1.137422473,72,0.020732794,408,6.011267174,408,6.011267174,NA,NA,NA,NA,57,"complaints","trash",14,1.73684885489988,0.6,1.00322491354356
1,"English",40,0.484629929,"Switch","Homograph",5,-0.733132579,113,0.944886044,222,5.402677382,222,5.402677382,NA,NA,NA,NA,66,"ordre","pile",14,1.73684885489988,0.6,1.00322491354356
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",4,-1.10724359,110,0.877265074,178,5.18178355,178,5.18178355,277,5.624017506,277,5.624017506,73,"list","leash",14,1.73684885489988,0.8,1.76652206599536
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",7,0.015089442,10,-1.376767243,NA,NA,NA,NA,246,5.505331536,246,5.505331536,53,"warning","camp",14,1.73684885489988,0.230769230769231,-0.405939060213592
1,"English",40,0.484629929,"Nonswitch","Homograph",10,1.137422473,166,2.139523172,237,5.468060141,237,5.468060141,200,5.298317367,200,5.298317367,71,"reasonable","ton",14,1.73684885489988,0.727272727272727,1.4889594651038
1,"English",40,0.484629929,"Switch","Homograph",6,-0.359021569,105,0.764563458,258,5.552959585,430,6.063785209,326,5.786897381,595,6.388561406,44,"soleil","court",14,1.73684885489988,0.166666666666667,-0.65058558343532
1,"English",40,0.484629929,"Switch","Nonhomograph",8,0.389200452,22,-1.106283365,251,5.525452939,251,5.525452939,239,5.476463552,239,5.476463552,62,"conseils","fiddle",14,1.73684885489988,0.125,-0.809605823529445
1,"English",40,0.484629929,"Switch","Nonhomograph",15,3.007977526,29,-0.948501103,683,6.52649486,683,6.52649486,NA,NA,387,5.958424693,52,"avait besoin de","corn",14,1.73684885489988,0.133333333333333,-0.777801775510622
1,"English",40,0.484629929,"Nonswitch","Homograph",7,0.015089442,132,1.373152184,323,5.777652323,323,5.777652323,223,5.407171771,223,5.407171771,69,"believe","timbre",14,1.73684885489988,0.285714285714286,-0.196242040309253
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",4,-1.10724359,2,-1.557089828,192,5.257495372,192,5.257495372,242,5.488937726,242,5.488937726,51,"fear","paw",14,1.73684885489988,0.285714285714286,-0.196242040309253
1,"English",40,0.484629929,"Switch","Homograph",6,-0.359021569,136,1.463313477,506,6.226536669,506,6.226536669,178,5.18178355,178,5.18178355,68,"aimait","rose",14,1.73684885489988,0.166666666666667,-0.65058558343532
